CALENDAR_DAY,NMI,IMPORT_EXPORT,0000,0030,0100,0130,0200,0230,0300,0330,0400,0430,0500,0530,0600,0630,0700,0730,0800,0830,0900,0930,1000,1030,1100,1130,1200,1230,1300,1330,1400,1430,1500,1530,1600,1630,1700,1730,1800,1830,1900,1930,2000,2030,2100,2130,2200,2230,2300,2330
20130301,80010001101,IMPORT_KWH,4440,4647.2,4520.8,4379.2,4377.6,4381.6,4426.4,4376.8,4636,4589.6,4367.2,4369.6,4375.2,4399.2,4396,4570.4,4650.4,4396,4373.6,4384,4382.4,4409.6,4491.2,4641.6,4459.2,4365.6,4363.2,4365.6,4408,4404.8,4648.8,4536.8,4374.4,4375.2,4375.2,4418.4,4362.4,4622.4,4607.2,4368,4371.2,4373.6,4403.2,4388,4564,4656.8,4419.2,4377.6
20130301,80010001190,IMPORT_KWH,15,15.2,15,14.6,15.2,14.6,14.4,14.8,15.8,17.4,18,20.2,23,22.6,36.6,46,70.4,61,51.4,51.2,51.2,49.6,62.8,60.2,54.6,57.2,65,64.4,61.6,57.4,55.8,42.4,32.4,31,29.4,25.6,22.4,21,20.2,17.6,17.4,17.2,17.2,17,16.8,16.6,16.4,17.4
20130301,80010001217,IMPORT_KWH,1078.8,1090.8,1123.2,1099.2,1113.6,1141.2,1114.8,1100.4,1124.4,1094.4,1088.4,1080,1048.8,1078.8,1090.8,1118.4,1078.8,1090.8,1114.8,1078.8,1088.4,1089.6,1094.4,1075.2,1071.6,1075.2,1098,1082.4,1083.6,1083.6,1076.4,1123.2,1081.2,1066.8,1062,1054.8,1046.4,1058.4,1089.6,1102.8,1104,1106.4,1119.6,1090.8,1094.4,1086,1081.2,1084.8
20130301,80010001463,IMPORT_KWH,2.736,2.264,0.55,0.566,0.61,0.536,0.558,0.588,0.56,0.694,1.884,1.852,1.674,1.51,2.036,2.168,2.628,2.196,3.01,4.706,4.786,5.092,4.334,3.49,3.052,3.218,4.982,4.546,4.662,4.796,4.642,4.264,3.294,3.484,4.774,4.13,4.438,8.292,10.23,10.848,10.772,10.776,10.602,10.596,10.13,4.308,2.622,2.71
20130301,80010001496,IMPORT_KWH,2.212,2.812,3.126,3.154,2.688,2.408,2.75,2.506,2.63,2.576,2.736,2.466,2.312,2.21,1.99,1.428,1.718,2.11,1.924,3.902,3.874,4.252,3.934,4.402,2.944,2.556,3.05,2.498,2.77,2.138,2.154,1.874,1.632,2.34,2.876,2.752,3.446,4.124,3.344,4.184,4.416,5.42,5.314,4.978,5.456,4.714,3.234,2.29
20130301,80010002056,IMPORT_KWH,10.864,10.944,10.896,11.04,11.072,11.056,11.104,11.136,11.12,11.408,15.456,16.352,13.984,13.296,23.36,17.2,24.688,30.048,31.248,31.888,37.12,34.24,36.288,31.888,32.992,31.648,35.744,39.216,36.512,36.944,34.656,34.672,39.104,37.44,42.848,46.032,45.12,39.296,42.672,30.48,26.336,26.496,24.272,23.888,20.976,12.928,11.744,11.936
20130301,80010002071,IMPORT_KWH,35.1,48.816,38.736,44.748,44.172,35.208,44.64,34.38,61.884,52.812,52.632,52.092,51.768,53.46,65.484,67.536,84.924,103.212,112.896,114.876,119.916,123.3,125.244,123.552,125.856,131.94,132.804,132.264,136.764,137.232,132.3,131.148,124.56,118.152,118.728,112.176,109.476,89.316,52.272,64.188,46.98,62.892,47.736,51.336,51.624,43.74,53.676,36.864
20130301,80010002107,IMPORT_KWH,41.44,42.544,58.8,40.704,38.528,32.32,22.816,22.08,23.968,30.72,39.376,33.76,40.112,42.512,42.992,48.768,56.512,70.672,93.488,119.312,137.68,132.08,144.528,134.368,126.512,122.432,117.696,115.088,110.592,107.824,105.6,106.112,107.216,102.48,107.136,107.024,93.712,91.936,78.368,73.728,66.288,59.024,58.016,45.072,24.8,22.4,20.608,20.672
20130301,80010002312,IMPORT_KWH,26.436,26.436,25.888,25.614,25.888,25.952,14.23,0.03,0.03,0.028,0.03,0.03,0.028,0.028,0.03,0.03,0.028,0.03,0.032,0.03,0.03,0.03,0.028,15.976,9.98,0.03,0.03,0.03,0.028,0.03,0.03,0.028,0.03,0.032,0.032,0.032,0.032,0.032,1.046,7.148,0.032,0.032,0.032,0.03,0.03,0.028,0.03,0.03
20130301,80010002526,IMPORT_KWH,49.536,50.224,49.488,48.272,48.384,48.688,46.976,47.984,47.488,46.304,46.512,48.544,49.168,48.928,52.832,56.048,72.352,75.088,78.208,79.328,77.36,76.688,76.72,76.656,77.056,74.784,71.76,78.928,73.328,73.168,73.888,74.992,70.432,66.816,62.656,55.488,54.896,54.24,50.576,48.736,49.008,46.352,47.92,46.224,51.824,45.888,46.224,46.416
